title,year,imdb_score,imdb_votes
Jagat,2015,7.0,186
Saavat,2019,6.6,186
Living in Bondage: Breaking Free,2019,5.1,185
Up North,2018,5.4,184
Jaal,1986,5.1,184
14 Minutes from Earth,2016,5.7,182
Merry Men: The Real Yoruba Demons,2018,5.1,182
Incomplete,2017,5.4,182
God Calling,2018,6.0,181
Beyond All Boundaries,2013,8.0,181
You Can Tutu,2017,4.5,180
Nneka The Pretty Serpent,2020,4.1,180
Mokalik (Mechanic),2019,6.3,180
Lock,2016,5.9,180
When Hari Got Married,2013,7.0,180
Emma' (Mother),2016,6.8,179
Deathgrip,2017,6.4,178
Sarvopari Palakkaran,2017,4.9,178
Die Ontwaking,2015,4.2,176
Brother's Shadow,2006,6.1,174
Lal Patthar,1971,6.0,174
A Scandall,2016,3.1,173
Used Goods,2018,4.2,173
The Holy Man,2005,5.9,172
Fakta Ladh Mhana,2011,6.2,172
Disconnect,2018,5.1,170
The Set Up,2019,4.3,169
Addicted to Life,2014,6.3,168
Gelo,2016,5.7,168
Dark City Beneath the Beat,2020,6.7,168
Revelations,2016,7.4,167
Lorai: Play to Live,2015,7.0,166
On the Wrong Track,1983,5.4,166
First Kiss,2018,4.0,166
Loving is Losing,2019,5.0,166
The Bittersweet,2017,5.1,166
TUNA GIRL,2019,6.2,165
Qila,1998,4.8,165
Patria,2019,7.1,164
Si Doel the Movie 3,2020,6.5,164
Bhasmasur,2017,6.8,164
Haani,2013,7.7,164
Born Beautiful,2019,5.2,164
Shiva,1990,7.6,163
Hamza's Suitcase,2017,4.0,162
Three Words to Forever,2018,6.8,161
The Son,2019,5.5,161
Haapus,2010,7.1,161
Chhota Bheem Aur Hanuman,2012,7.1,160
Lara and the Beat,2018,5.4,159
Yanda Kartavya Aahe,2006,6.8,159
Mayday Life,2019,6.7,159
Aaviri,2019,3.4,158
Concrete Football,2016,6.4,158
Rainbow Jelly,2018,6.7,158
Being Napoleon,2018,5.4,157
The Mirror Boy,2011,4.8,156
Sylvia,2018,5.2,154
Pyar Ke Do Pal,1986,5.5,154
The Only Mother To You All,2008,5.7,154
CRD,2016,6.4,153
Prince Charming,1984,5.4,152
Payday,2018,3.8,152
Shark Busters,2002,5.8,151
Red Trees,2017,6.5,151
Elevator Baby,2019,5.5,151
Bigflo & Oli: Hip Hop Frenzy,2020,6.7,148
"River, el más grande siempre",2019,7.2,147
Liefling,2010,5.3,146
Back to Q82,2017,4.3,146
Morya,2011,7.0,145
Cold Feet,2019,4.2,145
When Love Happens,2014,4.8,145
Mahi NRI,2017,6.6,145
Conjuring Spirit,2014,5.4,143
Ek Cup Chya,2009,7.6,143
The Arbitration,2016,5.5,142
Beirut Oh Beirut,1975,6.4,142
Aalorukkam,2018,6.5,141
Salem: His Sister's Father,2014,3.1,141
For the Broken Hearted,2018,6.1,140
#Rucker50,2016,5.2,140
How to Win the US Presidency,2016,6.3,139
Shubh Aarambh,2017,6.7,138
The CEO,2016,5.8,137
Ayana,2017,7.3,137
Maza Pati Karodpati,1988,7.0,136
Jewel's Catch One,2016,7.4,136
Gollu Aur Pappu,2014,3.8,136
Walk Away from Love,2017,6.8,135
III Smoking Barrels,2017,6.6,134
The Bling Lagosians,2019,5.2,134
Grillo vs Grillo,2017,5.4,134
Candyflip,2017,5.1,134
Love Dot Com: The Social Experiment,2019,4.3,134
Don't Crack Under Pressure II,2016,6.8,132
Mahjong Heroes,1981,5.5,132
Virsa,2010,5.7,130
Don't Look Down,2016,7.1,130
Aakhri Adaalat,1988,5.1,130
Mr. Virgin,1984,5.3,129
Vaya,2016,7.0,129
Matichya Chuli,2006,7.1,129
Vegas Baby,2016,6.3,129
Mala Kahich Problem Nahi,2017,7.0,128
Kygo: Live at the Hollywood Bowl,2017,6.8,127
Eggnoid: Love & Time Portal,2019,6.1,126
A new Capitalism,2017,6.2,126
El silencio es bienvenido,2017,5.0,126
Flower Girl,2013,5.8,125
To Be of Service,2019,7.2,125
Ek Jaan Hain Hum,1983,5.5,124
Theo Who Lived,2016,6.9,123
Jackpot,2015,6.5,123
Gardeners of Eden,2014,7.9,123
I Dream Of Dance,2017,7.2,121
Slay,2021,3.6,121
Fireflies,2013,6.1,121
Kanika,2017,4.5,120
Loudon Wainwright III: Surviving Twin,2018,6.8,119
Khido Khundi,2018,5.1,119
25 Kille,2016,5.6,119
Chal Bhaag,2014,3.7,118
Kia and Cosmos,2018,5.9,118
Ije: The Journey,2010,6.2,117
Chicken Kokkachi,2017,3.8,117
Invisible Essence: The Little Prince,2018,7.1,116
Laatu,2018,6.6,116
Good Luck,2012,5.4,116
Devrai,2004,8.1,116
Roll With Me,2017,8.2,115
Krutant,2019,6.5,115
Incorruptible,2015,6.0,115
Reaction,2011,4.6,114
Teach Us All,2017,7.0,114
Clarence Clemons: Who Do I Think I Am?,2019,6.1,114
Mantostaan,2017,5.5,113
Héroes,2015,3.3,112
Needhi Singh,2016,6.3,112
Tree Man,2015,6.5,111
My Dog is My Guide,2013,3.1,111
Omo Ghetto: the Saga,2020,7.6,111
The Delivery Boy,2018,6.3,110
Odu Raja Odu,2018,5.5,110
Anchor Baby,2010,6.4,108
Sanai Choughade,2008,6.9,107
Fate of Alakada,2020,4.9,106
Dil Vil Pyaar Vyaar,2014,6.7,105
Tellur Aliens,2016,4.4,105
Don't Crack Under Pressure III,2017,7.0,105
Romeo Ranjha,2014,4.9,105
Bangkok Hell,2002,5.6,103
Without Gorky,2011,6.7,103
P Se PM Tak,2015,3.7,102
Satria Heroes: Revenge of the Darkness,2017,5.4,102
Elaan,1971,5.9,101
Muqaddar ka Faisla,1987,4.9,101
The Remix: Hip Hop X Fashion,2019,7.6,100
Project Marathwada,2016,6.5,100
Limitless,2017,7.0,99
Eve's Apple,2017,6.8,99
We Are One,2020,5.6,99
Whispers,1980,7.6,99
Ma Chu Ka,2017,5.1,99
Sakaling Maging Tayo,2019,6.6,98
Mandobasar Galpo,2017,6.0,98
Singapore,1960,6.4,98
May You Prosper,2017,3.6,94
Salaakhen,1975,5.7,93
New Money,2018,5.3,92
Beary Tales,2013,8.2,92
Uncle Naji in UAE,2019,5.3,91
Naga The Eternal Yogi,2016,7.2,91
Ujala,1959,6.7,91
Here Comes the Rain,2010,6.5,90
100% Halal,2020,6.4,90
Pierre Jackson,2018,6.8,89
Papa the Great,2000,5.6,89
The Plan,2015,7.3,88
The Accidental Spy,2017,4.5,87
Carlos Almaraz: Playing with Fire,2019,7.9,87
Sei,2018,4.3,87
Theeram,2017,6.3,86
Kambili: The Whole 30 Yards,2020,6.7,85
Kaake Da Viyah,2019,5.5,85
Quam's Money,2020,4.5,84
Little Singham: Kaal Ka Badla,2020,8.3,84
A Trip to Jamaica,2016,5.0,82
Why Knot,2016,5.6,82
Waterschool,2018,6.5,82
10 Days in Sun City,2017,5.5,81
Panoptic,2017,6.3,81
Born to Play,2020,7.2,80
Grandmother's Farm Part 2,2015,5.1,79
Black Man White Skin,2015,6.5,79
Shortcut Safari,2016,6.6,79
Adhugo,2018,6.0,79
Mighty Raju Rio Calling,2014,6.5,78
Kaagar,2019,6.1,78
African America,2021,5.8,77
This Lady Called Life,2020,7.5,77
The Free Man,2016,6.3,77
Melle,2017,6.1,77
Horrid Henry's Gross Day Out,2020,6.1,76
Love You... Love You Not,2015,5.7,76
Pretville,2012,5.0,75
Moms at War,2018,6.3,75
Peace Haven,2016,6.2,75
We Are All For The Fatherland,1979,6.4,75
Day of Destiny,2021,4.9,74
Tiger,2016,7.2,74
Fishpeople,2017,7.8,73
Three-Quarters Decent,2010,3.3,72
Bridezilla,2019,6.1,71
Hombanna,2017,8.2,71
PhotoCopy,2016,6.6,71
Emicida: AmarElo - Live in São Paulo,2021,8.2,71
Hakkunde,2017,5.3,70
Ojukokoro: Greed,2016,6.5,70
Chhota Bheem and The ShiNobi Secret,2013,8.0,70
The Heat: A Kitchen (R)evolution,2018,6.6,70
Vitti Dandu,2014,7.4,70
Lucha: Playing the Impossible,2016,7.0,69
Your Excellency,2019,6.7,68
Highly Strung,2015,7.0,68
The Millions,2019,5.4,68
The Ghost and the Tout,2018,2.9,68
What a Wonderful Family!,2017,4.5,67
Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,6.6,67
Okafor's Law,2016,4.9,66
Yaara O Dildaara,2011,5.6,66
Thug Life,2017,6.1,66
Into the Wind,2018,4.0,65
Gold Statue,2019,6.9,65
Lokillo: Nothing's the Same,2021,5.0,65
The End,2019,5.1,64
4th Republic,2019,6.3,64
La Leyenda del Diamante,2017,3.2,64
Khoon Khoon,1973,5.0,63
Oh My Ghost 4,2015,5.2,63
Speed Is My Need,2019,5.9,63
Viswasapoorvam Mansoor,2017,5.9,62
Teshan,2016,5.3,62
Alexis Viera: A Story of Surviving,2019,7.2,61
Kasanova,2019,6.5,61
Mundeyan Ton Bachke Rahin,2014,5.7,61
Mythily Veendum Varunnu,2017,2.4,61
Hunter in the Blue Side of Manchester,2020,5.8,61
The Rebound,2016,8.5,61
Imago,2018,7.3,60
Skin,2019,7.0,60
Doctor Bello,2013,5.0,60
Rise: Ini Kalilah,2018,5.4,60
Banana Island Ghost,2017,5.9,59
Fan of Amoory,2018,6.3,59
Down The Fence,2017,8.2,59
30 Days of Luxury,2016,2.2,58
Grass,2017,4.4,58
Bogda,2018,7.6,57
​Maj Rati ​​Keteki,2017,7.8,57
3 Seconds Divorce,2018,7.3,57
One Take,2020,5.9,56
Satrangi Re,2012,6.7,56
Sur Sapata,2019,7.3,55
Mommy Issues,2021,5.3,55
Gbomo Gbomo Express,2015,5.2,55
Luckee,2019,4.8,54
Namour,2016,6.5,54
The Perfect Picture: Ten Years Later,2019,6.4,54
Table Manners,2018,5.1,54
In Line,2017,6.0,53
Cappuccino,2017,3.9,53
Kalek Shanab,2019,4.9,53
Finding Hubby,2020,4.5,53
Sin City,2019,3.3,52
What the Jatt!!,2015,5.2,52
Lechmi,2017,4.8,52
All About Love,2017,4.2,51
Voulez-vous rire avec moi ce soir?,2018,6.8,51
Bandie,1978,4.6,51
Ali & Alia,2019,5.0,51
Motor Mitraan Di,2016,6.2,51
Voiceless,2020,7.2,50
"Pop, Lock 'n Roll",2017,7.4,50
Who's the Boss,2020,5.7,49
Darra,2016,5.3,49
Chhota Bheem in African Safari,2015,7.5,49
Tango With Me,2010,6.2,49
Ideachi Kalpana,2010,6.0,49
The Bridge,2017,5.4,48
Sarivar Sari,2005,7.5,48
Project Papa,2018,6.1,47
The Reservoir Game,2017,6.1,47
Confusion Na Wa,2013,7.0,47
The House on Coco Road,2016,7.5,46
Perfume Imaginary Museum “Time Warp”,2020,6.2,46
Chandani: The Daughter of the Elephant Whisperer,2010,6.9,46
Khushi,2003,7.6,46
History of Joy,2017,5.0,45
Hire a Woman,2019,6.9,44
Maynard,2017,6.8,44
Sakhi,2007,6.9,43
Slow Country,2017,5.5,43
Pooja Kiven Aa,2013,5.4,42
Breaking Free,2015,6.8,42
Love Is War,2019,7.1,42
Wives on Strike: The Revolution,2017,6.6,41
Small Chops,2020,3.3,41
Not Alone,2017,7.3,41
Irada Pakka,2010,6.0,40
Lakeeran,2016,6.6,40
Imperfect,2012,5.4,39
Shahanpan Dega Deva,2011,5.9,39
The Lost Café,2018,6.3,39
Badha,2006,7.4,39
Seven and a half dates,2018,3.0,37
Catch.er,2017,4.7,37
Sanitation Day,2020,3.9,37
The Trap,2017,8.4,37
Submission,2019,6.5,37
Connected,2021,6.7,35
The Republic of Imbaba,2015,4.1,35
An American in Madras,2013,7.2,34
Ranbhool,2010,5.3,34
Saeed Mirza: The Leftist Sufi,2016,7.8,34
Strain,2020,5.5,34
Mexicanos de Bronce,2016,6.9,34
Radical: the Controversial Saga of Dada Figueiredo,2013,5.5,33
Uncovered,2019,5.3,33
Tatu,2017,4.0,33
The Beginning of Life 2: Outside,2020,7.4,32
Chhota Bheem Aur Kaala Yodha,2018,7.1,32
Couple of Days,2016,7.2,32
Holy Expectations,2019,5.2,32
Wedy Atkalam,2018,5.7,30
Alakada Reloaded,2017,2.4,30
Bheemayan,2018,7.1,30
Iyore,2015,7.5,29
Chhota Bheem Ka Romani Adventure,2018,6.6,29
Rembat,2015,5.6,29
Fukrey Boyzzz: Space Mein Fukrapanti,2020,8.5,28
Ethirmarai,2018,6.7,28
A Place in the Stars,2014,6.6,28
One Lagos Night,2021,6.2,27
Crazy people,2018,5.4,27
Chhota Bheem Ka Troll Se Takkar,2018,7.2,25
Drink Drank Drunk,2016,4.0,25
Interrogation,2015,7.9,22
Truckbhar Swapna,2018,6.0,22
Chadi Jawani Budhe Nu,1976,4.5,21
The Right One,2011,6.5,21
Roots,2016,7.3,21
Chhota Bheem Ka Roosi Romanch,2019,7.6,21
Unroyal,2020,5.1,21
Aata Pita,2010,7.2,20
Sat Sri Akal,2008,6.2,20
Hridaynath,2012,4.4,20
Being Mrs Elliot,2014,6.8,20
Los Niños Héroes de Chapultepec,2017,7.6,19
El Che,2017,7.4,19
Motu Patlu in Wonderland,2013,6.7,19
Bully,2012,6.5,18
Freej Al Taibeen,2018,5.3,17
Dear Affy,2020,5.4,14
Jugaad,2017,6.8,14
Mama Drama,2020,5.6,14
Bathinda Express,2016,6.3,13
Therapy,2020,3.1,13
She Is,2019,7.0,13
It's Her Day,2016,6.3,13
Three Thieves,2019,7.7,13
Paulettante Veedu,2016,4.5,12
Match,2017,3.5,12
Kacche Dhaagey,2016,6.1,12
Kaaliyan,2017,5.6,12
Broken,2019,4.9,11
Zero Hour,2018,4.8,11
Kaviyude Osyath,2017,3.8,11
Maharaja: The Story of Ranjit Singh,2010,7.4,10
Chal Dhar Pakad,2010,4.6,9
Wives on Strike,2016,8.7,9
Elles ont toutes une histoire,2016,6.4,7
